scrape_date,source_url,job_title,company,location,salary,salary_min_usd,salary_max_usd,salary_currency,salary_status,skills,source,status
2026-05-28,https://itviec.com/it/automation-tester-qa-qc-abbank-0039,Automation Tester (QA QC),Qa Qc Abbank,,Sign in to view salary,,,,login_required,Automation Test;QA QC;Tester,ItViec,ok
2026-05-28,https://itviec.com/it/automotive-autosar-base-sw-developer-1-year-contract-bosch-global-software-technologies-company-limited-5158,Automotive AUTOSAR Base SW Developer (1 year contract),Technologies Company Limited,,Sign in to view salary,,,,login_required,AUTOSAR;C++;Embedded;Embedded C,ItViec,ok
2026-05-28,https://itviec.com/it/automotive-embedded-developer-flash-bootloader-c-bosch-global-software-technologies-company-limited-0835,Automotive Embedded Developer (Flash Bootloader/C++),Technologies Company Limited,,Sign in to view salary,,,,login_required,AUTOSAR;Bootloader;C language;C++;Embedded;Python,ItViec,ok
2026-05-28,https://itviec.com/it/automotive-embedded-engineer-autosar-c-linux-hitachi-digital-services-4849,"Automotive Embedded Engineer (AUTOSAR, C++, Linux)",Hitachi Digital Services,,Sign in to view salary,,,,login_required,AUTOSAR;C++;Embedded;English;Hardware Design;Linux,ItViec,ok
2026-05-28,https://itviec.com/it/automotive-software-engineer-c-oop-middleware-lg-electronics-development-vietnam-lgedv-5740,"Automotive Software Engineer (C++, OOP, Middleware)",Development Vietnam Lgedv,,Sign in to view salary,,,,login_required,C++;Embedded;Linux;Middleware;OOP,ItViec,ok
2026-05-28,https://itviec.com/it/ba-tich-hop-phong-phan-tich-nghiep-vu-va-kiem-thu-ngan-hang-tnhh-mtv-viet-nam-hien-dai-mbv-4841,BA tích hợp - Phòng phân tích nghiệp vụ và kiểm thử,Hien Dai Mbv,,Sign in to view salary,,,,login_required,API;Business Analysis;Database;Interaction Design;JSON,ItViec,ok
2026-05-28,https://itviec.com/it/babylon-js-developer-web-3d-developer-blue-dragon-communications-1840,Babylon.js Developer (Web 3D Developer),Blue Dragon Communications,,Sign in to view salary,,,,login_required,Blender;Games;Git;JavaScript;ReactJS;TypeScript,ItViec,ok
2026-05-28,https://itviec.com/it/backend-net-developer-microservices-api-nam-viet-jsc-1926,Backend .NET Developer (Microservices/API),Nam Viet Jsc,,Sign in to view salary,,,,login_required,.NET;Docker;Microservices;Microsoft SQL Server;ReactJS,ItViec,ok
2026-05-28,https://itviec.com/it/backend-dev-golang-ai-luong-canh-tranh-buymed-0147,"Backend Dev (Golang, AI) - Lương cạnh tranh",Canh Tranh Buymed,,Sign in to view salary,,,,login_required,AI;Golang;Kubernetes;Microservices Architecture;PostgreSql;ReactJS,ItViec,ok
2026-05-28,https://itviec.com/it/backend-dev-java-spring-boot-open-for-relocation-advahealth-solutions-4939,Backend Dev (Java Spring Boot) – Open for relocation,Relocation Advahealth Solutions,,Sign in to view salary,,,,login_required,AWS;English;Java;PostgreSql;ReactJS;Spring Boot,ItViec,ok
